clarinet,59,14.065188000000001,,9344,116
trumpet,67,14.065188000000001,,9344,116
flute,86,14.215188000000001,,9472,116
oboe,74,14.215188000000001,,9472,116
clarinet,59,14.215188000000001,,9472,116
bassoon,59,14.215188000000001,,9472,116
french horn,67,14.215188000000001,,9472,116
trumpet,55,14.215188000000001,,9472,116
timpani,43,14.215188000000001,,9472,116
string ensemble 1,79,14.215188000000001,,9472,116
string ensemble 1,74,14.215188000000001,,9472,116
string ensemble 1,59,14.215188000000001,,9472,116
string ensemble 1,35,14.215188000000001,,9472,116
flute,91,14.215188000000001,,9472,116
oboe,79,14.215188000000001,,9472,116
clarinet,62,14.215188000000001,,9472,116
trumpet,67,14.215188000000001,,9472,116
flute,86,14.365188,,9600,116
oboe,74,14.365188,,9600,116
clarinet,62,14.365188,,9600,116
bassoon,59,14.365188,,9600,116
french horn,67,14.365188,,9600,116
trumpet,55,14.365188,,9600,116
timpani,43,14.365188,,9600,116
string ensemble 1,77,14.365188,,9600,116
string ensemble 1,67,14.365188,,9600,116
string ensemble 1,62,14.365188,,9600,116
string ensemble 1,59,14.365188,,9600,116
string ensemble 1,35,14.365188,,9600,116
flute,89,14.365188,,9600,116
oboe,77,14.365188,,9600,116
clarinet,67,14.365188,,9600,116
trumpet,67,14.365188,,9600,116
string ensemble 1,60,14.48003175,,9698,30
string ensemble 1,67,14.497609875,,9713,231
flute,84,14.515188,,9728,231
oboe,72,14.515188,,9728,231
clarinet,63,14.515188,,9728,231
bassoon,60,14.515188,,9728,231
french horn,67,14.515188,,9728,231
trumpet,60,14.515188,,9728,231
timpani,48,14.515188,,9728,231
string ensemble 1,75,14.515188,,9728,231
string ensemble 1,75,14.515188,,9728,231
string ensemble 1,63,14.515188,,9728,231
string ensemble 1,60,14.515188,,9728,231
string ensemble 1,36,14.515188,,9728,231
flute,87,14.515188,,9728,231
oboe,75,14.515188,,9728,231
clarinet,67,14.515188,,9728,231
trumpet,72,14.515188,,9728,231
string ensemble 1,56,15.14278965625,,10210,30
string ensemble 1,56,15.14278965625,,10210,30
string ensemble 1,66,15.162320828125,,10225,231
string ensemble 1,66,15.162320828125,,10225,231
flute,84,15.181852000000001,,10240,231
oboe,72,15.181852000000001,,10240,231
clarinet,60,15.181852000000001,,10240,231
bassoon,44,15.181852000000001,,10240,231
french horn,51,15.181852000000001,,10240,231
trumpet,60,15.181852000000001,,10240,231
timpani,48,15.181852000000001,,10240,231
string ensemble 1,72,15.181852000000001,,10240,231
string ensemble 1,72,15.181852000000001,,10240,231
string ensemble 1,56,15.181852000000001,,10240,231
string ensemble 1,44,15.181852000000001,,10240,231
string ensemble 1,32,15.181852000000001,,10240,231
oboe,78,15.181852000000001,,10240,231
clarinet,66,15.181852000000001,,10240,231
french horn,63,15.181852000000001,,10240,231
trumpet,72,15.181852000000001,,10240,231
string ensemble 1,55,15.915414578125,,10722,30
string ensemble 1,55,15.915414578125,,10722,30
string ensemble 1,62,15.915414578125,,10722,30
string ensemble 1,62,15.938243289062502,,10737,231
string ensemble 1,71,15.938243289062502,,10737,231
flute,83,15.961072000000001,,10752,231
oboe,71,15.961072000000001,,10752,231
clarinet,59,15.961072000000001,,10752,231
bassoon,43,15.961072000000001,,10752,231
french horn,55,15.961072000000001,,10752,231
trumpet,55,15.961072000000001,,10752,231
timpani,43,15.961072000000001,,10752,231
string ensemble 1,79,15.961072000000001,,10752,640
string ensemble 1,71,15.961072000000001,,10752,231
string ensemble 1,55,15.961072000000001,,10752,231
string ensemble 1,43,15.961072000000001,,10752,231
string ensemble 1,31,15.961072000000001,,10752,231
flute,91,15.961072000000001,,10752,231
oboe,79,15.961072000000001,,10752,231
clarinet,62,15.961072000000001,,10752,231
french horn,67,15.961072000000001,,10752,231
trumpet,67,15.961072000000001,,10752,231
flute,80,17.3688845,,11520,116
oboe,80,17.3688845,,11520,116
